Year,Phase_1_treat,Phase_1_rep,Phase_2_treat,Phase_2_rep,Tag_color,Tag_num,Tissue_type,Sample_Name,Vial_num,Notes,og_order,filt_out
2024,Hypoxic,1,Both,5,B,49,T,Hypoxic1_Both5_B49_T,75,,266,
2024,Hypoxic,5,Both,5,B,58,S,Hypoxic5_Both5_B58_S,69,,267,
2024,Hypoxic,5,Both,5,B,58,T,Hypoxic5_Both5_B58_T,67,,268,
2024,Warm,5,Both,5,G,57,S,Warm5_Both5_G57_S,83,2/5/25 SKM found to be a double during processing,269,
2024,Warm,5,Both,5,G,57,T,Warm5_Both5_G57_T,93,"2/5/25 SKM found to be a double during processing. SC 2/19 When I tried to homogenize the tissue samples, they are clumping in the tube.: not yet dry and homogenizer tubes put into the drying oven. 2/21 SC rehomogenized and all set now.",270,
2024,Warm,6,Both,5,G,60,S,Warm6_Both5_G60_S,71,,271,
2024,Warm,6,Both,5,G,60,T,Warm6_Both5_G60_T,76,,272,
2024,Both,3,Control,5,O,53,S,Both3_Control5_O53_S,,,273,
2024,Both,3,Control,5,O,53,T,Both3_Control5_O53_T,,,274,
2024,Both,5,Control,5,O,57,S,Both5_Control5_O57_S,,,275,
2024,Both,5,Control,5,O,57,T,Both5_Control5_O57_T,,,276,
2024,Control,3,Control,5,W,53,S,Control3_Control5_W53_S,,,277,
2024,Control,3,Control,5,W,53,T,Control3_Control5_W53_T,,,278,
2024,Control,4,Control,5,W,55,S,Control4_Control5_W55_S,,,279,
2024,Control,4,Control,5,W,55,T,Control4_Control5_W55_T,,,280,
2024,Hypoxic,5,Control,5,B,58,S,Hypoxic5_Control5_B58_S,,,281,
2024,Hypoxic,5,Control,5,B,58,T,Hypoxic5_Control5_B58_T,,,282,
2024,Hypoxic,6,Control,5,B,60,S,Hypoxic6_Control5_B60_S,,,283,
2024,Hypoxic,6,Control,5,B,60,T,Hypoxic6_Control5_B60_T,,,284,
2024,Warm,1,Control,5,G,50,S,Warm1_Control5_G50_S,,,285,
